Week Ending,Provider State,Newcases
02/28/21,NH,21.0
02/28/21,NJ,294.0
02/28/21,NM,17.0
02/28/21,NV,30.0
02/28/21,NY,345.0
02/28/21,OH,146.0
02/28/21,OK,62.0
02/28/21,OR,28.0
02/28/21,PA,240.0
02/28/21,PR,0.0
02/28/21,RI,47.0
02/28/21,SC,56.0
02/28/21,SD,8.0
02/28/21,TN,71.0
02/28/21,TX,336.0
02/28/21,UT,20.0
02/28/21,VA,67.0
02/28/21,VT,10.0
02/28/21,WA,53.0
02/28/21,WI,20.0
02/28/21,WV,11.0
02/28/21,WY,3.0
03/07/21,AK,0.0
03/07/21,AL,43.0
03/07/21,AR,31.0
03/07/21,AZ,80.0
03/07/21,CA,488.0
03/07/21,CO,21.0
03/07/21,CT,70.0
03/07/21,DC,5.0
03/07/21,DE,14.0
03/07/21,FL,195.0
03/07/21,GA,97.0
03/07/21,GU,0.0
03/07/21,HI,0.0
03/07/21,IA,31.0
03/07/21,ID,1.0
03/07/21,IL,198.0
03/07/21,IN,29.0
03/07/21,KS,30.0
03/07/21,KY,39.0
03/07/21,LA,17.0
03/07/21,MA,127.0
03/07/21,MD,60.0
03/07/21,ME,9.0
03/07/21,MI,74.0
03/07/21,MN,24.0
03/07/21,MO,37.0
03/07/21,MS,20.0
03/07/21,MT,6.0
03/07/21,NC,96.0
03/07/21,ND,7.0
03/07/21,NE,21.0
03/07/21,NH,5.0
03/07/21,NJ,212.0
03/07/21,NM,25.0
03/07/21,NV,17.0
03/07/21,NY,280.0
03/07/21,OH,132.0
03/07/21,OK,37.0
03/07/21,OR,31.0
03/07/21,PA,165.0
03/07/21,PR,0.0
03/07/21,RI,39.0
03/07/21,SC,36.0
03/07/21,SD,11.0
03/07/21,TN,63.0
03/07/21,TX,243.0
03/07/21,UT,25.0
03/07/21,VA,65.0
03/07/21,VT,3.0
03/07/21,WA,58.0
03/07/21,WI,20.0
03/07/21,WV,4.0
03/07/21,WY,2.0
03/14/21,AK,3.0
03/14/21,AL,23.0
03/14/21,AR,16.0
03/14/21,AZ,49.0
03/14/21,CA,430.0
03/14/21,CO,23.0
03/14/21,CT,74.0
03/14/21,DC,4.0
